,X,Germination.Date,Date,germ,Treatment,Lemur_Species,Plant_Species_Common_Name,Length_log
117,117,9/13/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.90825856
118,118,9/13/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.959350221
119,119,9/27/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.920282753
120,120,9/8/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,1.029619417
121,121,9/13/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.989541194
122,122,9/13/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.91228271
123,123,10/25/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.928219303
124,124,9/13/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.90016135
125,125,10/25/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.91228271
126,126,9/13/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.955511445
127,127,9/8/23,9/5/23,1,"Gut-passed, Washed",L. catta,Selenicereus undatus,0.936093359
128,128,9/8/23,9/5/23,1,"Gut-passed, Washed",L. catta,Solanum lycopersicum,1.492904096
129,129,9/8/23,9/5/23,1,"Gut-passed, Washed",L. catta,Solanum lycopersicum,1.391281903
130,130,9/8/23,9/5/23,1,"Gut-passed, Washed",L. catta,Solanum lycopersicum,1.427916036
131,131,9/8/23,9/5/23,1,"Gut-passed, Washed",L. catta,Solanum lycopersicum,1.368639426
132,132,9/13/23,9/5/23,1,"Gut-passed, Washed",L. catta,Solanum lycopersicum,1.396244692
133,133,3/17/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.456286733
134,134,3/17/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.444563269
135,135,3/15/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Solanum lycopersicum,1.40854497
136,136,3/15/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Solanum lycopersicum,1.558144618
137,137,3/22/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Actinidia deliciosa,0.896088025
138,138,3/17/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Actinidia deliciosa,0.982078472
139,139,3/24/23,3/8/23,1,Gut-passed,E. mongoz,Actinidia deliciosa,0.936093359
140,140,3/15/23,3/8/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.463255402
141,141,3/17/23,3/8/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.528227857
142,142,3/17/23,3/8/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.572773928
143,143,3/17/23,3/8/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.467874348
144,144,4/19/23,3/8/23,1,Gut-passed,E. mongoz,Actinidia deliciosa,0.841567186
145,145,3/17/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.526056303
146,146,3/15/23,3/8/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.472472057
147,147,3/15/23,3/8/23,1,Gut-passed,E. mongoz,Solanum lycopersicum,1.553925203
148,148,3/15/23,3/8/23,1,Gut-passed,E. mongoz,Solanum lycopersicum,1.439835128
149,149,3/15/23,3/8/23,1,Gut-passed,E. mongoz,Malus pumila,1.982379829
150,150,3/17/23,3/8/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.350667183
151,151,3/17/23,3/8/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.291983682
152,152,3/17/23,3/8/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.530394705
153,153,3/17/23,3/8/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.528227857
154,154,3/17/23,3/8/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.5518088
155,155,3/15/23,3/8/23,1,Gut-passed,E. mongoz,Malus pumila,2.148267733
156,156,3/15/23,3/8/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.45395301
157,157,3/15/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.430311247
158,158,3/15/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.530394705
159,159,3/15/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.621366483
160,160,3/15/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.595338988
161,161,3/15/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Solanum lycopersicum,1.465567542
162,162,3/15/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Solanum lycopersicum,1.477048724
163,163,3/15/23,3/8/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.435084525
164,164,3/15/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.490654376
165,165,3/15/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.519513205
166,166,3/15/23,3/8/23,1,"Gut-passed, Washed",E. mongoz,Solanum lycopersicum,1.427916036
167,167,9/13/23,9/6/23,1,Gut-passed,L. catta,Selenicereus undatus,0.862889955
168,168,9/13/23,9/6/23,1,Gut-passed,L. catta,Selenicereus undatus,0.867100488
169,169,9/27/23,9/6/23,1,Gut-passed,L. catta,Selenicereus undatus,0.90016135
