,X,Germination.Date,Date,germ,Treatment,Lemur_Species,Plant_Species_Common_Name,Length_log
655,655,2/24/23,2/16/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.54329811
656,656,3/1/23,2/16/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.631199404
657,657,10/18/23,10/4/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.360976553
658,658,10/13/23,10/4/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.396244692
659,659,10/18/23,10/4/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.353254507
660,660,10/18/23,10/4/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.32175584
661,661,10/18/23,10/4/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.495148766
662,662,10/18/23,10/4/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.444563269
663,663,10/18/23,10/4/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.360976553
664,664,2/1/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.313525033
665,665,2/4/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.243896097
666,666,2/1/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.33408376
667,667,1/25/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.352327185
668,668,1/25/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.354228326
669,669,1/25/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.339880878
670,670,2/1/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.408745289
671,671,1/25/23,1/18/23,1,Gut-passed,E. coronatus,Capsicum annuum,1.437462648
672,672,2/1/23,1/18/23,1,Gut-passed,E. coronatus,Capsicum annuum,1.444563269
673,673,2/1/23,1/18/23,1,Gut-passed,E. coronatus,Capsicum annuum,2.200552367
674,674,1/25/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.269028309
675,675,1/25/23,1/18/23,1,"Gut-passed, Washed",E. coronatus,Cucurbita moschata,2.708050201
676,676,1/25/23,1/18/23,1,"Gut-passed, Washed",E. coronatus,Malus pumila,2.012232792
677,677,1/25/23,1/18/23,1,"Gut-passed, Washed",E. coronatus,Cucumis melo var. cantalupensis,2.258633205
678,678,1/25/23,1/18/23,1,"Gut-passed, Washed",E. coronatus,Cucumis melo var. cantalupensis,2.312535424
679,679,2/22/23,2/8/23,1,Gut-passed,V. variegata,Solanum lycopersicum,1.467874348
680,680,2/17/23,2/8/23,1,Gut-passed,V. variegata,Malus pumila,2.018895042
681,681,2/15/23,2/8/23,1,Gut-passed,V. variegata,Solanum lycopersicum,1.423108334
682,682,2/15/23,2/8/23,1,Gut-passed,V. variegata,Solanum lycopersicum,1.286474026
683,683,2/15/23,2/8/23,1,Gut-passed,V. variegata,Solanum lycopersicum,1.526056303
684,684,2/15/23,2/8/23,1,Gut-passed,V. variegata,Solanum lycopersicum,1.269760545
685,685,2/15/23,2/8/23,1,Gut-passed,V. variegata,Solanum lycopersicum,1.45395301
686,686,2/15/23,2/8/23,1,Gut-passed,V. variegata,Solanum lycopersicum,1.280933845
687,687,2/15/23,2/8/23,1,Gut-passed,V. variegata,Solanum lycopersicum,1.324418957
688,688,2/15/23,2/8/23,1,Gut-passed,V. variegata,Solanum lycopersicum,1.481604541
689,689,2/15/23,2/8/23,1,Gut-passed,V. variegata,Solanum lycopersicum,1.358409158
690,690,3/1/23,2/15/23,1,Gut-passed,E. mongoz,Cucumis melo var. cantalupensis,2.320425011
691,691,3/1/23,2/15/23,1,Gut-passed,E. mongoz,Actinidia deliciosa,0.924258902
692,692,3/1/23,2/15/23,1,Gut-passed,E. mongoz,Solanum lycopersicum,1.223775432
693,693,2/22/23,2/15/23,1,Gut-passed,E. mongoz,Solanum lycopersicum,1.556037136
694,694,2/22/23,2/15/23,1,Gut-passed,E. mongoz,Solanum lycopersicum,1.32175584
695,695,2/22/23,2/15/23,1,Gut-passed,E. mongoz,Solanum lycopersicum,1.388791241
696,696,2/22/23,2/15/23,1,Gut-passed,E. mongoz,Solanum lycopersicum,1.373715579
697,697,2/22/23,2/15/23,1,Gut-passed,E. mongoz,Solanum lycopersicum,1.386294361
698,698,2/8/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.252343877
699,699,1/25/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.199444334
700,700,1/25/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.279316466
701,701,1/25/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.315501318
702,702,3/8/23,1/11/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.350422422
703,703,1/25/23,1/11/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.266957915
704,704,1/25/23,1/11/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.188295947
705,705,1/25/23,1/11/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.243896097
706,706,1/18/23,1/11/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.18492705
707,707,1/18/23,1/11/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.295560478
708,708,1/18/23,1/11/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.33408376
709,709,1/18/23,1/11/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.282382386
710,710,1/18/23,1/11/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo var. cantalupensis,2.296567021
711,711,1/25/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.307572635
712,712,1/18/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.293544348
713,713,1/18/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.254444718
714,714,1/18/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.313525033
715,715,1/18/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.197224577
716,716,1/18/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.276241118
717,717,1/18/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.239645293
718,718,3/10/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.292534757
719,719,2/1/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.237513096
720,720,1/18/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.308567165
721,721,1/18/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.250238613
722,722,1/18/23,1/11/23,1,Gut-passed,E. flavifrons,Cucumis melo var. cantalupensis,2.194999882
723,723,2/4/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.218115936
724,724,2/1/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.20386912
726,726,2/4/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.290512512
727,727,2/1/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.258633205
728,728,1/25/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.336019869
729,729,1/25/23,1/18/23,1,Gut-passed,E. coronatus,Cucumis melo var. cantalupensis,2.33408376
730,730,2/1/23,1/18/23,1,Gut-passed,E. coronatus,Capsicum annuum,1.483874689
731,731,2/1/23,1/18/23,1,Gut-passed,E. coronatus,Capsicum annuum,1.45395301
732,732,2/1/23,1/18/23,1,Gut-passed,E. coronatus,Capsicum annuum,1.371180723
733,733,2/1/23,1/18/23,1,Gut-passed,E. coronatus,Capsicum annuum,1.488399584
734,734,2/1/23,1/18/23,1,Gut-passed,E. coronatus,Capsicum annuum,1.465567542
737,737,3/8/23,1/18/23,1,"Gut-passed, Washed",E. coronatus,Cucumis melo var. cantalupensis,2.363680192
738,738,1/25/23,1/18/23,1,"Gut-passed, Washed",E. coronatus,Cucumis melo var. cantalupensis,1.985130862
739,739,1/25/23,1/18/23,1,"Gut-passed, Washed",E. coronatus,Cucumis melo var. cantalupensis,-0.385662481
740,740,1/25/23,1/18/23,1,"Gut-passed, Washed",E. coronatus,Cucumis melo var. cantalupensis,2.265921109
741,741,3/29/23,2/23/23,1,Gut-passed,E. flavifrons,Actinidia deliciosa,0.783901544
742,742,2/4/23,1/19/23,1,Gut-passed,V. rubra,Capsicum annuum,1.564440547
743,743,2/4/23,1/19/23,1,Gut-passed,V. rubra,Capsicum annuum,1.470175845
744,744,2/1/23,1/19/23,1,Gut-passed,V. rubra,Cucumis melo L.,2.587764035
745,745,1/25/23,1/19/23,1,Gut-passed,V. rubra,Cucurbita moschata,2.536866389
746,746,2/15/23,1/19/23,1,Gut-passed,V. rubra,Cucumis melo L.,2.545531272
747,747,2/8/23,1/19/23,1,Gut-passed,V. rubra,Cucumis melo L.,2.52332576
748,748,1/25/23,1/19/23,1,Gut-passed,V. rubra,Cucumis melo L.,2.486571929
749,749,2/8/23,1/19/23,1,"Gut-passed, Washed",E. coronatus,Cucumis melo L.,2.596000697
750,750,2/1/23,1/19/23,1,"Gut-passed, Washed",E. coronatus,Capsicum annuum,1.619388243
751,751,1/25/23,1/19/23,1,"Gut-passed, Washed",E. coronatus,Cucumis melo L.,2.583997552
752,752,1/25/23,1/19/23,1,"Gut-passed, Washed",E. coronatus,Cucumis melo L.,2.614471854
753,753,1/25/23,1/19/23,1,"Gut-passed, Washed",E. coronatus,Capsicum annuum,1.572773928
754,754,1/25/23,1/19/23,1,"Gut-passed, Washed",E. coronatus,Cucurbita moschata,2.659559992
755,755,2/15/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.582486978
756,756,1/25/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Capsicum annuum,1.499623046
757,757,1/25/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.502255288
758,758,1/25/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.60194867
759,759,2/1/23,1/19/23,1,Gut-passed,V. rubra,Capsicum annuum,1.534714366
760,760,2/1/23,1/19/23,1,Gut-passed,V. rubra,Capsicum annuum,1.477048724
761,761,2/1/23,1/19/23,1,Gut-passed,V. rubra,Capsicum annuum,1.479329227
762,762,10/4/23,9/26/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.517322624
763,763,10/4/23,9/26/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.510721939
764,764,2/15/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.373975089
765,765,2/15/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.568788134
766,766,2/15/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.531313023
767,767,2/1/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.552565298
768,768,2/1/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Capsicum annuum,1.669591835
769,769,10/18/23,9/26/23,1,Gut-passed,L. catta,Capsicum annuum,1.519513205
770,770,10/25/23,9/26/23,1,Gut-passed,L. catta,Cucumis melo L.,2.614471854
771,771,10/4/23,9/26/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.25846099
772,772,10/4/23,9/26/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.172482137
773,773,10/4/23,9/26/23,1,"Gut-passed, Washed",L. catta,Solanum lycopersicum,1.294727168
774,774,10/18/23,9/26/23,1,Gut-passed,L. catta,Capsicum annuum,1.547562509
775,775,10/18/23,9/27/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.539015448
776,776,10/4/23,9/27/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.479329227
777,777,10/4/23,9/27/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.517322624
778,778,10/18/23,9/27/23,1,"Gut-passed, Washed",L. catta,Capsicum annuum,1.54329811
779,779,11/8/23,9/27/23,1,"Gut-passed, Washed",L. catta,Cucumis melo L.,2.563409711
780,780,10/4/23,9/27/23,1,"Gut-passed, Washed",L. catta,Solanum lycopersicum,1.134622726
781,781,2/17/23,1/19/23,1,Gut-passed,V. rubra,Cucumis melo L.,2.516889696
782,782,2/4/23,1/19/23,1,Gut-passed,V. rubra,Cucumis melo L.,2.530517161
783,783,2/1/23,1/19/23,1,Gut-passed,V. rubra,Cucumis melo L.,2.621765833
784,784,2/1/23,1/19/23,1,Gut-passed,V. rubra,Cucumis melo L.,2.306577114
785,785,2/1/23,1/19/23,1,Gut-passed,V. rubra,Capsicum annuum,1.599387577
786,786,2/1/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.578700529
787,787,2/1/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.629006994
788,788,2/1/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.674148649
789,789,2/1/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.646883766
790,790,2/15/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.605648267
791,791,2/8/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.53449015
792,792,2/8/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.511223958
793,793,2/1/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.451005098
794,794,1/25/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucumis melo L.,2.644755351
795,795,1/25/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Capsicum annuum,1.481604541
796,796,1/25/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Capsicum annuum,1.53686722
797,797,1/25/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Capsicum annuum,1.589235205
798,798,1/25/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Capsicum annuum,1.656321498
799,799,1/25/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Capsicum annuum,1.467874348
800,800,1/25/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Capsicum annuum,1.504077397
801,801,1/25/23,1/19/23,1,"Gut-passed, Washed",V. rubra,Cucurbita moschata,2.540025949
802,802,1/11/23,1/5/23,1,Gut-passed,V. variegata,Cucumis melo L.,2.604909442
803,803,1/18/23,1/5/23,1,Gut-passed,V. variegata,Cucumis melo L.,2.543961413
804,804,1/13/23,1/5/23,1,Gut-passed,V. variegata,Cucumis melo L.,2.54474665
805,805,1/11/23,1/5/23,1,Gut-passed,V. variegata,Cucumis melo L.,2.601207105
806,806,1/11/23,1/5/23,1,Gut-passed,V. variegata,Cucumis melo L.,2.596746132
807,807,3/1/23,2/23/23,1,Gut-passed,E. coronatus,Capsicum annuum,1.355835154
808,808,3/1/23,2/23/23,1,Gut-passed,E. coronatus,Capsicum annuum,1.437462648
809,809,3/1/23,2/23/23,1,Gut-passed,E. coronatus,Capsicum annuum,1.519513205
810,810,3/1/23,2/23/23,1,Gut-passed,E. coronatus,Capsicum annuum,1.495148766
811,811,3/24/23,2/23/23,1,Gut-passed,V. rubra,Solanum lycopersicum,1.486139696
812,812,3/31/23,2/23/23,1,Gut-passed,V. rubra,Solanum lycopersicum,1.381281819
813,813,3/31/23,2/23/23,1,Gut-passed,V. rubra,Solanum lycopersicum,1.446918983
814,814,2/1/23,1/19/23,1,Gut-passed,E. flavifrons,Cucumis melo L.,2.520112906
815,815,2/1/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.33020026
816,816,2/1/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.264883226
817,817,2/1/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.269028309
818,818,1/25/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.290512512
819,819,1/25/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.30058309
820,820,1/25/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.329227024
821,821,1/25/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.310553263
822,822,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.292534757
823,823,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.292534757
824,824,3/8/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.308567165
825,825,2/15/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.332143895
826,826,2/1/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.240709689
827,827,1/25/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.283402274
828,828,2/8/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.194999882
829,829,2/1/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Actinidia deliciosa,0.824175443
830,830,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.145931283
831,831,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.183801557
832,832,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.270061901
833,833,2/22/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.280339484
834,834,1/20/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.295560478
835,835,4/5/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.33408376
836,836,2/1/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.18492705
837,837,1/25/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.346601978
838,838,1/25/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.260720889
839,839,1/25/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.32238772
840,840,1/25/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.299580584
841,841,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.257587727
842,842,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.308567165
845,845,3/8/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.315501318
846,846,1/25/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.3580198
847,847,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.227861547
848,848,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.197224577
849,849,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.317473705
850,850,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.2782924
851,851,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.250238613
852,852,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.286455711
853,853,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.303584593
855,855,4/7/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.309560707
856,856,3/22/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.269028309
857,857,2/17/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.32238772
858,858,1/25/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.228938553
859,859,1/25/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.333114298
860,860,2/1/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Actinidia deliciosa,0.985816795
861,861,3/1/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.295560478
862,862,2/1/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.307572635
863,863,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.286455711
864,864,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.315501318
865,865,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.287471455
866,866,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.276241118
867,867,4/14/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.264883226
868,868,2/1/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.213753879
869,869,1/25/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,1.425515074
870,870,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.181546765
871,871,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.286455711
872,872,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.307572635
873,873,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.182674796
874,874,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.315501318
875,875,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.209372711
876,876,1/18/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.31944221
877,877,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,-0.116533816
878,878,4/25/23,1/19/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.460937904
879,879,2/1/23,1/19/23,1,Gut-passed,E. flavifrons,Cucumis melo L.,2.592265168
880,880,2/1/23,1/19/23,1,Gut-passed,E. flavifrons,Cucumis melo L.,2.57261223
881,881,2/1/23,1/19/23,1,Gut-passed,E. flavifrons,Capsicum annuum,1.611435915
882,882,1/25/23,1/19/23,1,Gut-passed,E. flavifrons,Cucumis melo L.,2.440606391
883,883,2/15/23,1/19/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo L.,2.608598122
884,884,2/4/23,1/19/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo L.,2.634762405
885,885,2/4/23,1/19/23,1,"Gut-passed, Washed",E. flavifrons,Cucurbita moschata,2.543961413
887,887,3/31/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.276241118
888,888,2/24/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.266957915
889,889,1/25/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.239645293
890,890,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.254444718
891,891,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.305580602
892,892,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.186051277
893,893,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.301584593
894,894,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.279316466
895,895,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.332143895
896,896,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.299580584
897,897,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.307572635
898,898,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.316487998
899,899,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.284421122
900,900,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.292534757
901,901,3/8/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.270061901
902,902,2/22/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.290512512
903,903,2/22/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.24495598
904,904,2/8/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.33117255
905,905,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.250238613
906,906,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.299580584
907,907,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.256541154
908,908,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.251291799
909,909,1/18/23,1/11/23,1,Gut-passed,V. variegata,Cucumis melo var. cantalupensis,2.302585093
910,910,1/25/23,1/11/23,1,"Gut-passed, Washed",V. variegata,Cucumis melo var. cantalupensis,2.237513096
911,911,1/11/23,1/4/23,1,Gut-passed,V. variegata,Malus pumila,2.125847914
912,912,1/11/23,1/4/23,1,Gut-passed,V. variegata,Malus pumila,1.987874348
913,913,1/20/23,1/4/23,1,Gut-passed,V. variegata,Malus pumila,2.155244505
914,914,2/1/23,1/19/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo L.,2.552565298
915,915,2/1/23,1/19/23,1,"Gut-passed, Washed",E. flavifrons,Capsicum annuum,1.574846468
916,916,1/25/23,1/19/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo L.,2.680336363
917,917,1/25/23,1/19/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo L.,2.673458756
918,918,3/22/23,3/15/23,1,Gut-passed,E. mongoz,Actinidia deliciosa,1.327075001
919,919,3/31/23,3/15/23,1,Gut-passed,E. mongoz,Actinidia deliciosa,0.760805829
920,920,3/31/23,3/15/23,1,Gut-passed,E. mongoz,Actinidia deliciosa,0.858661619
921,921,3/24/23,3/15/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.517322624
922,922,3/24/23,3/15/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.446918983
923,923,3/24/23,3/15/23,1,Gut-passed,E. mongoz,Capsicum annuum,1.60743591
924,924,3/29/23,3/15/23,1,Gut-passed,E. mongoz,Rubus fruticosus,1.467874348
925,925,3/22/23,3/15/23,1,"Gut-passed, Washed",E. mongoz,Capsicum annuum,1.534714366
926,926,1/25/23,1/19/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo L.,2.626116818
927,927,2/1/23,1/19/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo L.,2.52332576
928,928,2/1/23,1/19/23,1,"Gut-passed, Washed",E. flavifrons,Cucumis melo L.,2.444084655
