"","Lemur","Plante","L","Treatment","Control","Germination","Sex","Date","GerminationDate","Time"
"297","Eulemur rubriventer","Grewia",9.4,"Gut Passed, Unwashed","0","0","",2023-07-25,NA,100
"298",NA,"Syzygium",10.79,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-09,46
"299",NA,"Syzygium",9.64,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-25,31
"300",NA,"Syzygium",12.28,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"301",NA,"Syzygium",8.83,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-28,34
"302",NA,"Syzygium",9.73,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"303",NA,"Syzygium",9.17,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-28,34
"304",NA,"Syzygium",10.43,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-25,31
"305",NA,"Syzygium",8.65,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"306",NA,"Syzygium",8.92,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-09,46
"307",NA,"Syzygium",11.68,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-03,40
"308",NA,"Syzygium",10.49,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-03,40
"309",NA,"Syzygium",10.17,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-24,61
"310",NA,"Syzygium",11.31,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-09,46
"311",NA,"Syzygium",10.24,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"312",NA,"Syzygium",11.73,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-24,61
"313",NA,"Syzygium",12.63,"Gut Passed, Unwashed","0","0","",2023-07-25,NA,100
"314",NA,"Syzygium",10.3,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-03,40
"315",NA,"Syzygium",11.3,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"316",NA,"Syzygium",9.31,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-09,46
"317",NA,"Syzygium",10.41,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-09,46
"318",NA,"Syzygium",8.78,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-25,31
"319",NA,"Syzygium",9.35,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"320",NA,"Syzygium",8.16,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-10,16
"321",NA,"Syzygium",8.42,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-10,16
"322",NA,"Syzygium",10.36,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"323",NA,"Syzygium",9.56,"Gut Passed, Unwashed","0","0","",2023-07-25,NA,100
"324",NA,"Syzygium",8.88,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"325",NA,"Syzygium",9.25,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-28,34
"326",NA,"Syzygium",9.06,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-28,34
"327",NA,"Syzygium",8.64,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-09-21,58
"328",NA,"Syzygium",8.8,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-10-12,79
"329",NA,"Syzygium",9.07,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-28,34
"330",NA,"Syzygium",9.03,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"331",NA,"Syzygium",8.83,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-19,25
"332",NA,"Syzygium",9.66,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"333",NA,"Syzygium",8.39,"Gut Passed, Unwashed","0","0","",2023-07-25,NA,100
"334",NA,"Syzygium",8.07,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-16,22
"335",NA,"Syzygium",9.18,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-19,25
"336",NA,"Syzygium",6.49,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-10-15,82
"337",NA,"Syzygium",6.67,"Gut Passed, Unwashed","0","0","",2023-07-25,2023-11-05,100
"338",NA,"Syzygium",10.84,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-01,7
"339",NA,"Syzygium",10.45,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-04,10
"340",NA,"Syzygium",10.7,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-04,10
"341",NA,"Syzygium",10.68,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-04,10
"342",NA,"Syzygium",9.41,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-04,10
"343",NA,"Syzygium",11.27,"Gut Passed, Unwashed","0","0","",2023-07-25,NA,100
"344",NA,"Syzygium",7.27,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-10,16
"345",NA,"Syzygium",7.52,"Gut Passed, Unwashed","0","1","",2023-07-25,2023-08-01,7
"346",NA,"Syzygium",11.02,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-10,15
"347",NA,"Syzygium",10.69,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-28,33
"348",NA,"Syzygium",8.49,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-16,21
"349",NA,"Syzygium",11.01,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-04,9
"350",NA,"Syzygium",9.68,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-10,15
"351",NA,"Syzygium",10.32,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-04,9
"352",NA,"Syzygium",9.35,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-10,15
"353",NA,"Syzygium",13.4,"Gut Passed, Unwashed","0","0","",2023-07-26,NA,100
"354",NA,"Syzygium",6.91,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-03,39
"355",NA,"Syzygium",7.29,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-21,57
"356",NA,"Syzygium",6.22,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-06,42
"357",NA,"Syzygium",7.39,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-22,27
"358",NA,"Syzygium",6.57,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-09,45
"359",NA,"Syzygium",6.69,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-03,39
"360",NA,"Syzygium",6.89,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-22,27
"361",NA,"Syzygium",6.88,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-28,33
"362",NA,"Syzygium",6.64,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-07,12
"363",NA,"Syzygium",7.59,"Gut Passed, Unwashed","0","0","",2023-07-26,NA,100
"364",NA,"Syzygium",7.45,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-19,24
"365",NA,"Syzygium",6.78,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-06,42
"366",NA,"Syzygium",6.94,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-06,42
"367",NA,"Syzygium",6.01,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-06,42
"368",NA,"Syzygium",5.81,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-09,45
"369",NA,"Syzygium",6.94,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-09,45
"370",NA,"Syzygium",7.1,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-06,42
"371",NA,"Syzygium",7.5,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-09,45
"372",NA,"Syzygium",7.12,"Gut Passed, Unwashed","0","0","",2023-07-26,NA,100
"373",NA,"Syzygium",6.49,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-06,42
"374",NA,"Syzygium",6.5,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-03,39
"375",NA,"Syzygium",5.31,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-03,39
"376",NA,"Syzygium",4.53,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-28,33
"377",NA,"Syzygium",12.13,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-09-09,45
"378",NA,"Syzygium",14.56,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-16,21
"379",NA,"Syzygium",15.18,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-16,21
"380",NA,"Grewia",10.2,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-07,12
"381",NA,"Grewia",9.21,"Gut Passed, Unwashed","0","0","",2023-07-26,NA,100
"382","Eulemur rubriventer","Syzygium",7.34,"Gut Passed, Unwashed","0","1","",2023-07-26,2023-08-16,21
"383",NA,"Syzygium",11.67,"Gut Passed, Unwashed","0","1","",2023-07-27,2023-08-10,14
"384",NA,"Syzygium",15.52,"Gut Passed, Unwashed","0","0","",2023-07-27,NA,100
"385",NA,"Syzygium",9.61,"Gut Passed, Unwashed","0","0","",2023-07-27,NA,100
"386",NA,"Syzygium",10.92,"Gut Passed, Unwashed","0","1","",2023-07-27,2023-08-17,21
"387",NA,"Syzygium",8.73,"Gut Passed, Unwashed","0","1","",2023-07-27,2023-08-10,14
"388",NA,"Syzygium",6.04,"Gut Passed, Unwashed","0","1","",2023-07-27,2023-08-10,14
"389",NA,"Syzygium",5.94,"Gut Passed, Unwashed","0","1","",2023-07-27,2023-09-09,44
"390",NA,"Syzygium",7.22,"Gut Passed, Unwashed","0","1","",2023-07-27,2023-08-04,8
"391","Eulemur rubriventer","Syzygium",9.77,"Gut Passed, Unwashed","0","1","",2023-07-27,2023-10-12,77
"392","Eulemur rubriventer","Syzygium",9.84,"Gut Passed, Unwashed","0","1","",2023-07-27,2023-08-16,20
"393","Eulemur rubriventer","Syzygium",9.6,"Gut Passed, Unwashed","0","1","",2023-07-27,2023-09-03,38
"394",NA,"Syzygium",8.34,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-16,19
"395",NA,"Syzygium",8.36,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-16,19
"396",NA,"Syzygium",8.01,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-09-09,43
"397",NA,"Syzygium",8.02,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-28,31
"398",NA,"Syzygium",7.47,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-09-15,49
"399",NA,"Syzygium",6.83,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-09-09,43
"400",NA,"Syzygium",7.26,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-09-15,49
"401",NA,"Syzygium",7.59,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-28,31
"402",NA,"Syzygium",7.47,"Gut Passed, Unwashed","0","0","",2023-07-28,NA,100
"403",NA,"Syzygium",6.94,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-28,31
"404",NA,"Syzygium",6.87,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-07,10
"405",NA,"Syzygium",6.47,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-04,7
"406",NA,"Syzygium",5.42,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-28,31
"407",NA,"Syzygium",5.73,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-07,10
"408",NA,"Syzygium",5.69,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-28,31
"409",NA,"Syzygium",5.94,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-28,31
"410",NA,"Syzygium",5.87,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-16,19
"411",NA,"Syzygium",6.26,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-07,10
"412",NA,"Syzygium",5.33,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-28,31
"413",NA,"Syzygium",8,"Gut Passed, Unwashed","0","1","",2023-07-28,2023-08-07,10
"414",NA,"Syzygium",9.57,"Gut Passed, Unwashed","0","1","",2023-07-29,2023-08-16,18
"415",NA,"Syzygium",7.16,"Gut Passed, Unwashed","0","1","",2023-07-29,2023-08-16,18
"416",NA,"Syzygium",14.36,"Gut Passed, Unwashed","0","1","",2023-07-29,2023-08-16,18
"417",NA,"Syzygium",10.92,"Gut Passed, Unwashed","0","1","",2023-07-29,2023-08-19,21
"418",NA,"Syzygium",9.73,"Gut Passed, Unwashed","0","1","",2023-07-29,2023-09-18,51
"419",NA,"Syzygium",12.08,"Gut Passed, Unwashed","0","1","",2023-07-29,2023-08-16,18
"420",NA,"Syzygium",10.96,"Gut Passed, Unwashed","0","1","",2023-07-29,2023-08-28,30
"421",NA,"Syzygium",14.89,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-16,16
"422",NA,"Syzygium",13.46,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-16,16
"423",NA,"Syzygium",9.14,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-16,16
"424",NA,"Syzygium",9.65,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-16,16
"425",NA,"Syzygium",8.73,"Gut Passed, Unwashed","0","0","",2023-07-31,NA,100
"426",NA,"Syzygium",9.78,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-16,16
"427",NA,"Syzygium",14.27,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-10,10
"428",NA,"Syzygium",8.99,"Gut Passed, Unwashed","0","0","",2023-07-31,2023-11-11,100
"429",NA,"Syzygium",8.88,"Gut Passed, Unwashed","0","0","",2023-07-31,NA,100
"430",NA,"Syzygium",10.03,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-10-12,73
"431",NA,"Syzygium",7.14,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-07,7
"432",NA,"Syzygium",13.25,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-10,10
"433",NA,"Syzygium",14.43,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-16,16
"434",NA,"Syzygium",14.35,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-28,28
"435",NA,"Syzygium",10.49,"Gut Passed, Unwashed","0","0","",2023-07-31,2023-11-14,100
"436",NA,"Syzygium",12.64,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-13,13
"437",NA,"Syzygium",13.69,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-19,19
"438",NA,"Syzygium",13.31,"Gut Passed, Unwashed","0","1","",2023-07-31,2023-08-19,19
"439",NA,"Grewia",9.83,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-16,14
"440",NA,"Syzygium",9.93,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-09-03,32
"441",NA,"Syzygium",8.84,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-19,17
"442",NA,"Syzygium",10.03,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-28,26
"443",NA,"Syzygium",8.36,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-09-03,32
"444",NA,"Syzygium",9.74,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-28,26
"445",NA,"Syzygium",9.44,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-28,26
"446",NA,"Syzygium",10.06,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-28,26
"447",NA,"Syzygium",7.98,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-28,26
"448",NA,"Syzygium",7.67,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-28,26
"449",NA,"Syzygium",7.46,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-10,8
"450",NA,"Syzygium",6.6,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-16,14
"451",NA,"Syzygium",6.8,"Gut Passed, Unwashed","0","0","",2023-08-02,NA,100
"452",NA,"Syzygium",6.57,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-16,14
"453",NA,"Syzygium",6.08,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-10,8
"454",NA,"Syzygium",5.99,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-07,5
"455",NA,"Syzygium",6.25,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-10,8
"456",NA,"Syzygium",5.52,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-16,14
"457",NA,"Syzygium",5.24,"Gut Passed, Unwashed","0","0","",2023-08-02,NA,100
"458",NA,"Syzygium",4.94,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-07,5
"459",NA,"Syzygium",4.25,"Gut Passed, Unwashed","0","1","",2023-08-02,2023-08-16,14
"460",NA,"Syzygium",7.93,"Gut Passed, Unwashed","0","1","",2023-08-04,2023-09-09,36
"461",NA,"Syzygium",6.75,"Gut Passed, Unwashed","0","1","",2023-08-04,2023-08-28,24
"462",NA,"Syzygium",8.56,"Gut Passed, Unwashed","0","1","",2023-08-04,2023-09-30,57
"463",NA,"Syzygium",18.47,"Gut Passed, Unwashed","0","0","",2023-08-04,NA,100
"464",NA,"Syzygium",16.67,"Gut Passed, Unwashed","0","1","",2023-08-04,2023-08-25,21
"465",NA,"Syzygium",17.9,"Gut Passed, Unwashed","0","0","",2023-08-04,NA,100
"466",NA,"Cryptocaria",19.16,"Gut Passed, Unwashed","0","1","",2023-08-04,2023-08-28,24
"467",NA,"Cryptocaria",17.11,"Gut Passed, Unwashed","0","1","",2023-08-04,2023-08-25,21
"468",NA,"Cryptocaria",17.44,"Gut Passed, Unwashed","0","1","",2023-08-04,2023-08-28,24
"469",NA,"Syzygium",6.6,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-10,5
"470",NA,"Syzygium",5.74,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-16,11
"471",NA,"Syzygium",6.03,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-19,14
"472",NA,"Syzygium",6.29,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-16,11
"473",NA,"Syzygium",7.15,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-16,11
"474",NA,"Syzygium",7.2,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-16,11
"475",NA,"Syzygium",6.74,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-16,11
"476",NA,"Syzygium",6.12,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-16,11
"477",NA,"Syzygium",5.05,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-16,11
"478",NA,"Syzygium",7.22,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-10,5
"479",NA,"Syzygium",8,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-09-03,29
"480",NA,"Syzygium",11.88,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-22,17
"481",NA,"Syzygium",9.4,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-16,11
"482",NA,"Syzygium",6.46,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-22,17
"483",NA,"Syzygium",5.6,"Gut Passed, Unwashed","0","1","",2023-08-05,2023-08-28,23
"484",NA,"Syzygium",12.29,"Gut Passed, Unwashed","0","1","",2023-08-08,2023-09-12,35
"485",NA,"Syzygium",13.35,"Gut Passed, Unwashed","0","0","",2023-08-08,NA,100
"486",NA,"Syzygium",13.16,"Gut Passed, Unwashed","0","1","",2023-08-08,2023-08-19,11
"487",NA,"Syzygium",11.41,"Gut Passed, Unwashed","0","1","",2023-08-08,2023-08-19,11
"488",NA,"Syzygium",9.11,"Gut Passed, Unwashed","0","1","",2023-08-08,2023-09-18,41
"489",NA,"Syzygium",8.98,"Gut Passed, Unwashed","0","1","",2023-08-08,2023-09-27,50
"490",NA,"Syzygium",8.94,"Gut Passed, Unwashed","0","1","",2023-08-08,2023-10-03,56
"491",NA,"Syzygium",9.31,"Gut Passed, Unwashed","0","0","",2023-08-08,NA,100
"492",NA,"Syzygium",8.33,"Gut Passed, Unwashed","0","1","",2023-08-08,2023-08-31,23
"493",NA,"Syzygium",8.19,"Gut Passed, Unwashed","0","1","",2023-08-08,2023-11-02,86
"494",NA,"Syzygium",8,"Gut Passed, Unwashed","0","1","",2023-08-08,2023-09-27,50
"495",NA,"Syzygium",14.06,"Gut Passed, Unwashed","0","1","",2023-08-08,2023-08-22,14
"496",NA,"Cryptocaria",17.01,"Gut Passed, Unwashed","0","1","",2023-08-08,2023-08-28,20
"497",NA,"Syzygium",3.97,"Gut Passed, Unwashed","0","1","",2023-08-09,2023-08-25,16
"498",NA,"Cryptocaria",18.77,"Gut Passed, Unwashed","0","1","",2023-08-09,2023-08-28,19
"499",NA,"Cryptocaria",19.57,"Gut Passed, Unwashed","0","0","",2023-08-09,NA,100
"500",NA,"Syzygium",14.5,"Gut Passed, Unwashed","0","1","",2023-08-09,2023-09-24,46
"501","Control","Cryptocaria",19.5,"Control","1","0","",2023-08-09,NA,100
"502","Control","Cryptocaria",17.68,"Control","1","0","",2023-08-09,NA,100
"503","Control","Cryptocaria",18.96,"Control","1","0","",2023-08-09,NA,100
"504","Control","Cryptocaria",17.93,"Control","1","0","",2023-08-09,NA,100
"505","Control","Cryptocaria",18.74,"Control","1","1","",2023-08-09,2023-09-24,46
"506",NA,"Syzygium",13.46,"Gut Passed, Unwashed","0","1","",2023-08-11,2023-08-28,17
"507",NA,"Syzygium",14.55,"Gut Passed, Unwashed","0","1","",2023-08-11,2023-08-28,17
"508",NA,"Syzygium",4.56,"Gut Passed, Unwashed","0","1","",2023-08-11,2023-08-22,11
"509",NA,"Syzygium",4.8,"Gut Passed, Unwashed","0","1","",2023-08-11,2023-08-19,8
"510",NA,"Syzygium",5.85,"Gut Passed, Unwashed","0","1","",2023-08-11,2023-08-19,8
"511",NA,"Grewia",8.47,"Gut Passed, Unwashed","0","0","",2023-08-11,NA,100
"512",NA,"Grewia",9.71,"Gut Passed, Unwashed","0","1","",2023-08-11,2023-08-28,17
"513",NA,"Grewia",9.93,"Gut Passed, Unwashed","0","1","",2023-08-11,2023-08-16,5
"514",NA,"Syzygium",7.49,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-21,13
"515",NA,"Syzygium",7.7,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-18,10
"516",NA,"Syzygium",6.2,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-18,10
"517",NA,"Syzygium",6.27,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-18,10
"518",NA,"Syzygium",6.27,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-18,10
"519",NA,"Syzygium",6.66,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-18,10
"520",NA,"Syzygium",7,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-30,22
"521",NA,"Syzygium",5.67,"Gut Passed, Unwashed","0","1","",2023-09-08,2023-09-18,10
"522",NA,"Syzygium",4.71,"Gut Passed, Unwashed","0","1","",2023-09-08,2023-09-18,10
"523",NA,"Syzygium",5.31,"Gut Passed, Unwashed","0","1","",2023-09-08,2023-09-18,10
"524",NA,"Syzygium",3.93,"Gut Passed, Unwashed","0","1","",2023-09-08,2023-09-18,10
"525",NA,"Syzygium",6.18,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-15,7
"526",NA,"Syzygium",5.72,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-21,13
"527",NA,"Syzygium",5.33,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-24,16
"528",NA,"Syzygium",6.64,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-24,16
"529",NA,"Syzygium",5.05,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-12,4
"530",NA,"Syzygium",4.29,"Gut Passed, Washed","0","1","",2023-09-08,2023-09-24,16
"531",NA,"Syzygium",18.79,"Gut Passed, Unwashed","0","1","",2023-09-09,2023-10-27,48
"532",NA,"Syzygium",5.27,"Gut Passed, Unwashed","0","1","",2023-09-09,2023-09-18,9
"533",NA,"Syzygium",5.1,"Gut Passed, Unwashed","0","1","",2023-09-09,2023-09-18,9
"534",NA,"Syzygium",5.33,"Gut Passed, Unwashed","0","1","",2023-09-09,2023-09-30,21
"535",NA,"Syzygium",5.69,"Gut Passed, Unwashed","0","1","",2023-09-09,2023-10-09,30
"536",NA,"Syzygium",5.55,"Gut Passed, Washed","0","0","",2023-09-09,NA,100
"537",NA,"Syzygium",5.54,"Gut Passed, Washed","0","0","",2023-09-09,NA,100
"538",NA,"Syzygium",7.41,"Gut Passed, Washed","0","0","",2023-09-09,NA,100
"539",NA,"Syzygium",8.23,"Gut Passed, Washed","0","0","",2023-09-09,NA,100
"540",NA,"Cryptocaria",13.19,"Gut Passed, Washed","0","0","",2023-09-09,NA,100
"541",NA,"Syzygium",17.37,"Gut Passed, Unwashed","0","1","",2023-09-11,2023-09-24,13
"542",NA,"Syzygium",17.1,"Gut Passed, Unwashed","0","1","",2023-09-11,2023-09-21,10
"543",NA,"Cryptocaria",18.44,"Gut Passed, Washed","0","1","",2023-09-13,2023-11-17,65
"544",NA,"Cryptocaria",18.22,"Gut Passed, Washed","0","1","",2023-09-13,2023-10-06,23
"545",NA,"Syzygium",7,"Gut Passed, Washed","0","1","",2023-09-14,2023-09-21,7
"546",NA,"Syzygium",8.09,"Gut Passed, Unwashed","0","0","",2023-09-14,NA,100
"547",NA,"Cryptocaria",11.93,"Gut Passed, Washed","0","1","",2023-09-14,2023-10-06,22
"548",NA,"Cryptocaria",12.15,"Gut Passed, Washed","0","0","",2023-09-14,NA,100
"549","Control","Syzygium",6.38,"Control","1","1","",2023-09-14,2023-09-24,10
"550","Control","Syzygium",6.24,"Control","1","1","",2023-09-14,2023-09-21,7
"551","Control","Syzygium",5.9,"Control","1","1","",2023-09-14,2023-09-24,10
"552","Control","Syzygium",5.88,"Control","1","1","",2023-09-14,2023-10-06,22
"553","Control","Syzygium",5.84,"Control","1","0","",2023-09-14,NA,100
"554","Control","Syzygium",7.16,"Control, Washed","1","1","",2023-09-14,2023-09-24,10
"555","Control","Syzygium",8.5,"Control, Washed","1","1","",2023-09-14,2023-09-24,10
"556","Control","Syzygium",7.61,"Control, Washed","1","1","",2023-09-14,2023-09-24,10
"557","Control","Syzygium",8.49,"Control, Washed","1","1","",2023-09-14,2023-09-24,10
"558","Control","Syzygium",7.39,"Control, Washed","1","1","",2023-09-14,2023-10-15,31
"559","Control","Syzygium",7.83,"Control, Washed","1","1","",2023-09-14,2023-09-24,10
"560","Control","Syzygium",7.58,"Control, Washed","1","1","",2023-09-14,2023-11-02,49
"561",NA,"Syzygium",13.38,"Gut Passed, Unwashed","0","1","",2023-09-15,2023-10-12,27
"562",NA,"Syzygium",14.36,"Gut Passed, Unwashed","0","1","",2023-09-15,2023-10-12,27
"563","Eulemur rubriventer","Syzygium",5.72,"Gut Passed, Washed","0","1","",2023-09-15,2023-09-24,9
"564","Eulemur rubriventer","Syzygium",5.77,"Gut Passed, Washed","0","1","",2023-09-15,2023-09-24,9
"565","Eulemur rubriventer","Syzygium",5.19,"Gut Passed, Washed","0","1","",2023-09-15,2023-09-24,9
"566","Eulemur rubriventer","Syzygium",4.92,"Gut Passed, Washed","0","0","",2023-09-15,NA,100
"567","Eulemur rubriventer","Syzygium",3.67,"Gut Passed, Washed","0","1","",2023-09-15,2023-09-24,9
"568","Eulemur rubriventer","Syzygium",4.42,"Gut Passed, Washed","0","1","",2023-09-15,2023-09-30,15
"569","Eulemur rubriventer","Syzygium",4.05,"Gut Passed, Washed","0","1","",2023-09-15,2023-09-30,15
